Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
suboptimal,40,Filler,buy,crayon,crayon4.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch1.jpg,piano,piano1.jpg,tractor,tractor4.jpg,AAE
suboptimal,9,Predictive,eat,sandwich,sandwich1.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush4.jpg,jewel,jewel3.jpg,scissors,scissors1.jpg,AAE
intermediate,10,Predictive,throw,football,football3.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle2.jpg,whistle,whistle3.jpg,costume,costume2.jpg,AAE
intermediate,2,Predictive,climb,tree,tree2.jpg,climb_tree,climb_tree_AAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel4.jpg,doll,doll1.jpg,juice,juice2.jpg,AAE
suboptimal,4,Predictive,drink ,milk,milk1.jpg,drink _milk,drink _milk_AAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor1.jpg,ball,ball2.jpg,dress,dress2.jpg,AAE
suboptimal,52,Filler,find,mail,mail1.jpg,find_mail,find_mail_AAE.mp3,,,,,cart,cart4.jpg,cat,cat4.jpg,ball,ball4.jpg,AAE
optimal,12,Predictive,bake,cookies,cookies4.jpg,bake_cookies,bake_cookies_GAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll2.jpg,footprint,footprint4.jpg,trophy,trophy4.jpg,GAE
suboptimal,0,Predictive,blow,horn,horn2.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush2.jpg,chair,chair1.jpg,bread,bread2.jpg,AAE
optimal,50,Filler,buy,truck,truck3.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can3.jpg,milk,milk4.jpg,dog,dog3.jpg,GAE
suboptimal,5,Predictive,win,trophy,trophy3.jpg,win_trophy,win_trophy_AAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail2.jpg,santa,santa2.jpg,whisle,whisle1.jpg,AAE
intermediate,44,Filler,find,doll,doll3.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel2.jpg,juice,juice1.jpg,tree,tree1.jpg,AAE
optimal,1,Predictive,toast,bread,bread4.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 3.jpg,shirt,shirt2.jpg,couch,couch4.jpg,GAE
optimal,13,Predictive,drive,car,car2.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag2.jpg,grapes,grapes1.jpg,dress,dress1.jpg,GAE
suboptimal,22,NeutralFiller,find,milk,milk2.jpg,find_milk,find_milk_AAE.mp3,,,,,tractor,tractor3.jpg,ball,ball1.jpg,dress,dress3.jpg,AAE
intermediate,28,NeutralFiller,hold,football,football2.jpg,hold_football,hold_football_AAE.mp3,,,,,pickle,pickle3.jpg,whistle,whistle1.jpg,costume,costume3.jpg,AAE
intermediate,13,Predictive,drive,car,car3.jpg,drive_car,drive_car_AAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag3.jpg,grapes,grapes3.jpg,dress,dress4.jpg,AAE
optimal,52,Filler,find,mail,mail3.jpg,find_mail,find_mail_GAE.mp3,,,,,cart,cart1.jpg,cat,cat1.jpg,ball,ball3.jpg,GAE
optimal,21,NeutralFiller,find,juice,juice3.jpg,find_juice,find_juice_GAE.mp3,,,,,truck,truck2.jpg,book,book4.jpg,bell,bell1.jpg,GAE
suboptimal,23,NeutralFiller,buy,trophy,trophy1.jpg,buy_trophy,buy_trophy_AAE.mp3,,,,,mail,mail4.jpg,santa,santa4.jpg,whistle,whistle4.jpg,AAE
intermediate,51,Filler,get,can,can2.jpg,get_can,get_can_AAE.mp3,,,,,costume,costume4.jpg,kite,kite2.jpg,bike,bike2.jpg,AAE
intermediate,1,Predictive,toast,bread,bread1.jpg,toast_bread,toast_bread_AAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 2.jpg,shirt,shirt4.jpg,couch,couch2.jpg,AAE
optimal,3,Predictive,pour ,juice,juice4.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck1.jpg,book,book1.jpg,bell,bell2.jpg,GAE
suboptimal,36,Filler,choose,chair,chair2.jpg,choose_chair,choose_chair_AAE.mp3,,,,,brush,brush4.jpg,horn,horn4.jpg,bread,bread3.jpg,AAE
intermediate,14,Predictive,walk,dog,dog1.jpg,walk_dog,walk_dog_AAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can1.jpg,milk,milk3.jpg,truck,truck4.jpg,AAE
suboptimal,10,Predictive,throw,football,football1.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle2.jpg,costume,costume1.jpg,AAE
optimal,39,Filler,find,dress,dress2.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor2.jpg,milk,milk4.jpg,ball,ball2.jpg,GAE
suboptimal,42,Filler,choose,scissors,scissors2.jpg,choose_scissors,choose_scissors_AAE.mp3,,,,,bush,bush1.jpg,sandwich,sandwich4.jpg,jewel,jewel1.jpg,AAE
intermediate,17,Predictive,pet,cat,cat2.jpg,pet_cat,pet_cat_AAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box3.jpg,plant,plant2.jpg,ball,ball3.jpg,AAE
suboptimal,15,Predictive,ride,bike,bike1.jpg,ride_bike,ride_bike_AAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume3.jpg,can,can4.jpg,kite,kite3.jpg,AAE
intermediate,12,Predictive,bake,cookies,cookies1.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll4.jpg,footprint,footprint1.jpg,trophy,trophy2.jpg,AAE
optimal,41,Filler,choose,shoes,shoes1.jpg,choose_shoes,choose_shoes_GAE.mp3,,,,,peanut,peanut3.jpg,kite,kite1.jpg,bush,bush3.jpg,GAE
suboptimal,6,Predictive,play,piano,piano4.jpg,play_piano,play_piano_AAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch3.jpg,tractor,tractor1.jpg,crayon,crayon1.jpg,AAE
intermediate,53,Filler,buy,plant,plant4.jpg,buy_plant,buy_plant_AAE.mp3,,,,,box,box1.jpg,ball,ball4.jpg,cat,cat3.jpg,AAE
optimal,8,Predictive,read,book,book2.jpg,read_book,read_book_GAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa3.jpg,ring,ring4.jpg,horse,horse2.jpg,GAE
intermediate,25,NeutralFiller,buy,kite,kite4.jpg,buy_kite,buy_kite_AAE.mp3,,,,,peanut,peanut4.jpg,bush,bush2.jpg,shoes,shoes4.jpg,AAE
intermediate,30,NeutralFiller,choose,cookies,cookies3.jpg,choose_cookies,choose_cookies_AAE.mp3,,,,,doll,doll1.jpg,footprint,footprint2.jpg,trophy,trophy1.jpg,AAE
optimal,7,Predictive,fly,kite,kite1.jpg,fly_kite,fly_kite_GAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut2.jpg,bush,bush1.jpg,shoes,shoes3.jpg,GAE
intermediate,3,Predictive,pour ,juice,juice3.jpg,pour _juice,pour _juice_AAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck1.jpg,book,book3.jpg,bell,bell3.jpg,AAE
suboptimal,51,Filler,get,can,can3.jpg,get_can,get_can_AAE.mp3,,,,,costume,costume4.jpg,kite,kite3.jpg,bike,bike4.jpg,AAE
suboptimal,14,Predictive,walk,dog,dog2.jpg,walk_dog,walk_dog_AAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can1.jpg,milk,milk2.jpg,truck,truck4.jpg,AAE
optimal,16,Predictive,kick,ball,ball1.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart2.jpg,cat,cat2.jpg,mail,mail1.jpg,GAE
intermediate,49,Filler,choose,grapes,grapes2.jpg,choose_grapes,choose_grapes_AAE.mp3,,,,,bag,bag1.jpg,car,car4.jpg,dress,dress3.jpg,AAE
optimal,11,Predictive,draw,picture,picture4.jpg,draw_picture,draw_picture_GAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint3.jpg,cookies,cookies2.jpg,mittens,mittens1.jpg,GAE
intermediate,38,Filler,find,bell,bell4.jpg,find_bell,find_bell_AAE.mp3,,,,,truck,truck2.jpg,book,book2.jpg,juice,juice2.jpg,AAE
optimal,48,Filler,find,footprint,footprint4.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll3.jpg,cookies,cookies4.jpg,trophy,trophy3.jpg,GAE
suboptimal,50,Filler,buy,truck,truck3.jpg,buy_truck,buy_truck_AAE.mp3,,,,,can,can2.jpg,milk,milk3.jpg,dog,dog4.jpg,AAE
optimal,31,NeutralFiller,buy,car,car1.jpg,buy_car,buy_car_GAE.mp3,,,,,bag,bag4.jpg,grapes,grapes4.jpg,dress,dress4.jpg,GAE
suboptimal,24,NeutralFiller,buy ,piano,piano3.jpg,buy _piano,buy _piano_AAE.mp3,,,,,couch,couch2.jpg,tractor,tractor2.jpg,crayon,crayon2.jpg,AAE
optimal,29,NeutralFiller,find ,picture,picture2.jpg,find _picture,find _picture_GAE.mp3,,,,,footprint,footprint3.jpg,cookies,cookies3.jpg,mittens,mittens4.jpg,GAE
suboptimal,17,Predictive,pet,cat,cat1.jpg,pet_cat,pet_cat_AAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box2.jpg,plant,plant3.jpg,ball,ball3.jpg,AAE
optimal,2,Predictive,climb,tree,tree3.jpg,climb_tree,climb_tree_GAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel4.jpg,doll,doll4.jpg,juice,juice4.jpg,GAE
intermediate,47,Filler,buy,whistle,whistle1.jpg,buy_whistle,buy_whistle_AAE.mp3,,,,,pickle,pickle4.jpg,footprint,footprint1.jpg,costume,costume2.jpg,AAE
intermediate,7,Predictive,fly,kite,kite4.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut1.jpg,bush,bush4.jpg,shoes,shoes2.jpg,AAE
optimal,37,Filler,buy,shirt,shirt1.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 4.jpg,bread,bread2.jpg,couch,couch1.jpg,GAE
